srcip,srcport,dstip,dstport,proto,duration
130.233.145.193,0.0,130.233.226.86,5744.0,1.0,0.0
130.233.145.193,59039.0,130.233.227.12,2049.0,6.0,828.0
130.233.145.193,,130.233.227.16,635.0,17.0,
130.233.145.193,49342.0,,443.0,6.0,477868492.0
130.233.145.193,43524.0,130.233.227.12,111.0,6.0,1036.0
130.233.145.193,0.0,130.233.226.86,44267.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,53485.0,1.0,0.0
130.233.145.10,137.0,130.233.145.255,137.0,17.0,15143459.0
130.233.145.193,54482.0,188.65.124.58,443.0,6.0,582737126.0
130.233.145.193,0.0,13.234.221.187,52158.0,1.0,0.0
130.233.145.167,137.0,130.233.145.255,137.0,17.0,1519271.0
130.233.145.193,44698.0,195.8.215.224,443.0,6.0,1184713.0
130.233.145.193,50075.0,130.233.227.12,2049.0,17.0,403.0
130.233.145.193,0.0,130.233.226.86,17160.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,15401.0,1.0,0.0
130.233.145.193,49350.0,216.58.211.130,443.0,6.0,170083509.0
130.233.145.193,34568.0,172.217.21.129,443.0,6.0,
130.233.145.193,0.0,130.233.226.86,49648.0,1.0,0.0
,0.0,13.234.227.70,29120.0,1.0,0.0
130.233.145.193,56754.0,,10051.0,6.0,9891.0
130.233.145.193,0.0,130.233.226.86,,1.0,0.0
130.233.145.193,41620.0,130.233.226.86,10051.0,6.0,3317.0
130.233.145.31,138.0,130.233.145.255,138.0,17.0,0.0
130.233.226.86,2048.0,130.233.145.193,49282.0,1.0,0.0
130.233.145.193,55204.0,40.102.34.34,443.0,6.0,1064084.0
130.233.145.193,56588.0,130.233.227.12,111.0,6.0,
35.156.241.107,2048.0,130.233.145.193,4215.0,1.0,0.0
130.233.145.47,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,0.0,130.233.226.86,54197.0,1.0,0.0
130.233.226.86,47144.0,130.233.145.193,10050.0,6.0,927.0
130.233.145.193,53300.0,104.200.21.240,80.0,6.0,1025513.0
130.233.145.193,0.0,130.233.226.86,35484.0,1.0,0.0
130.233.145.193,59650.0,216.58.207.234,443.0,6.0,170317713.0
,58808.0,104.27.166.220,443.0,6.0,46637.0
130.233.145.193,59176.0,130.233.226.86,10051.0,,2134.0
130.233.145.193,0.0,130.233.226.86,2314.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,24245.0,1.0,0.0
130.233.145.63,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,,130.233.226.86,48360.0,1.0,0.0
130.233.145.193,56732.0,130.233.227.12,635.0,17.0,397.0
130.233.145.193,45474.0,130.233.226.86,10051.0,6.0,2748.0
130.233.226.86,2048.0,130.233.145.193,2255.0,1.0,0.0
130.233.145.193,42440.0,70.42.32.31,443.0,6.0,567934.0
130.233.145.157,137.0,130.233.145.255,,,1499876.0
130.233.145.193,0.0,130.233.226.86,14947.0,1.0,0.0
130.233.145.193,38270.0,52.212.90.74,443.0,,60465344.0
130.233.145.193,50502.0,151.101.84.217,443.0,6.0,474712618.0
130.233.145.193,36308.0,130.233.227.16,111.0,6.0,924.0
130.233.145.193,59046.0,46.51.199.167,443.0,6.0,237866814.0
130.233.145.193,0.0,130.233.226.86,58390.0,1.0,0.0
130.233.145.193,51604.0,,443.0,6.0,60468222.0
130.233.145.193,834.0,130.233.227.12,635.0,17.0,330.0
130.233.226.86,2048.0,130.233.145.193,3350.0,1.0,0.0
130.233.145.193,52068.0,23.42.154.185,443.0,6.0,5554113.0
130.233.226.86,2048.0,,51724.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,4671.0,1.0,0.0
130.233.145.193,0.0,,10560.0,1.0,0.0
130.233.145.193,44634.0,216.58.211.3,443.0,6.0,170215390.0
130.233.226.86,2048.0,130.233.145.193,3696.0,1.0,0.0
130.233.145.193,42470.0,70.42.32.31,443.0,6.0,565716.0
130.233.145.193,0.0,130.233.226.86,45412.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,62681.0,1.0,0.0
130.233.145.193,57534.0,,10051.0,6.0,1570.0
130.233.226.86,2048.0,130.233.145.193,45558.0,,0.0
130.233.145.193,56784.0,130.233.226.86,10051.0,,13731.0
130.233.145.193,0.0,130.233.226.86,9241.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,39995.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,38022.0,1.0,0.0
130.233.145.193,59252.0,216.58.207.206,443.0,6.0,82568.0
130.233.145.193,34584.0,185.33.223.215,443.0,6.0,5723804.0
130.233.145.193,41158.0,188.65.124.64,443.0,6.0,65224655.0
130.233.145.193,59202.0,54.171.13.176,443.0,6.0,32094707.0
130.233.145.193,35870.0,34.95.120.147,443.0,6.0,170435597.0
130.233.145.9,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,45502.0,13.107.18.11,443.0,6.0,124548048.0
130.233.226.86,2048.0,130.233.145.193,26486.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,41015.0,1.0,0.0
130.233.145.193,44966.0,130.233.226.86,10051.0,6.0,3557.0
130.233.145.193,45458.0,13.107.6.254,443.0,6.0,127315482.0
130.233.226.86,2048.0,130.233.145.193,13732.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,43637.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,32842.0,1.0,0.0
130.233.145.193,37830.0,216.58.211.2,443.0,6.0,2490765.0
130.233.145.193,,193.166.4.71,80.0,6.0,115702187.0
130.233.145.193,57188.0,172.217.21.131,443.0,6.0,285429863.0
130.233.145.193,59582.0,151.101.85.111,443.0,6.0,25696.0
130.233.226.86,2048.0,130.233.145.193,,1.0,0.0
130.233.145.193,,130.233.227.12,111.0,17.0,364.0
130.233.145.193,53298.0,52.114.76.35,443.0,6.0,
130.233.145.193,,,111.0,17.0,516.0
130.233.145.193,59202.0,130.233.226.86,10051.0,6.0,2272.0
130.233.226.86,2048.0,130.233.145.193,,1.0,0.0
130.233.145.94,58906.0,130.233.145.255,137.0,17.0,0.0
130.233.226.86,2048.0,,9591.0,1.0,0.0
130.233.145.193,38976.0,216.58.211.14,443.0,6.0,170681127.0
130.233.145.193,50007.0,,2049.0,6.0,978.0
130.233.145.101,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,0.0,130.233.226.86,25218.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,26710.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,62630.0,1.0,0.0
130.233.145.193,,23.42.152.29,443.0,6.0,5537101.0
130.233.145.99,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,56704.0,130.233.226.86,10051.0,6.0,1784.0
130.233.145.193,49494.0,52.178.90.230,,6.0,580581704.0
130.233.226.86,2048.0,130.233.145.193,50447.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,42865.0,1.0,0.0
130.233.226.86,2048.0,,38579.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,47157.0,,0.0
130.233.145.193,33434.0,216.58.207.202,443.0,6.0,170313929.0
130.233.145.193,41652.0,130.233.226.86,10051.0,6.0,2550.0
130.233.226.86,2048.0,130.233.145.193,16579.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,8512.0,1.0,0.0
130.233.145.193,41662.0,130.233.226.86,10051.0,6.0,2359.0
130.233.145.193,55826.0,104.244.42.200,443.0,6.0,2521418.0
130.233.226.86,2048.0,130.233.145.193,15454.0,1.0,0.0
130.233.145.193,53632.0,,635.0,,379.0
130.233.145.193,58214.0,54.72.133.38,443.0,6.0,228095689.0
,2048.0,130.233.145.193,52409.0,1.0,0.0
130.233.145.193,52284.0,23.42.153.199,443.0,6.0,122945500.0
130.233.145.193,59122.0,,10051.0,6.0,15022.0
130.233.145.182,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,35412.0,130.233.227.12,111.0,17.0,474.0
130.233.145.193,0.0,130.233.226.86,22185.0,1.0,0.0
130.233.145.193,33610.0,192.0.73.2,443.0,6.0,171049963.0
130.233.145.193,50110.0,130.233.251.5,53.0,17.0,345615614.0
,41608.0,23.42.153.4,443.0,6.0,40038829.0
130.233.145.193,41196.0,193.166.4.71,80.0,6.0,23111865.0
,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.154,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,,130.233.226.86,10051.0,6.0,1475.0
130.233.145.193,0.0,3.112.14.218,61233.0,1.0,0.0
130.233.145.193,56640.0,130.233.227.12,111.0,6.0,1109.0
130.233.145.47,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,,107.178.254.65,443.0,6.0,170464273.0
130.233.145.193,0.0,130.233.226.86,48127.0,1.0,0.0
130.233.145.193,,52.85.240.181,443.0,6.0,171019705.0
130.233.145.193,37584.0,93.184.220.113,443.0,6.0,59967799.0
130.233.145.71,138.0,,138.0,,0.0
130.233.145.193,49462.0,104.102.56.238,,6.0,44128268.0
130.233.145.193,41614.0,130.233.226.86,10051.0,6.0,1218.0
130.233.145.193,44934.0,130.233.226.86,10051.0,6.0,1484.0
130.233.145.193,51868.0,23.42.154.185,443.0,6.0,5956954.0
130.233.145.193,45386.0,31.13.72.12,,6.0,30824.0
130.233.145.193,59192.0,13.33.44.179,443.0,6.0,116086287.0
130.233.145.193,37748.0,,443.0,6.0,38207.0
130.233.226.86,35140.0,130.233.145.193,10050.0,6.0,6747.0
