Date,Price (USD)
01/30/2021,33930.3
01/29/2021,33424.5
01/28/2021,33093.1
01/27/2021,31258.1
01/26/2021,31721.7
01/25/2021,32007.5
01/24/2021,33348.7
01/23/2021,32659.8
01/22/2021,32635.2
01/21/2021,30812.8
01/20/2021,34462.6
01/19/2021,35386.8
01/18/2021,36406.6
01/17/2021,34976.6
01/16/2021,35955.7
01/15/2021,36549.4
01/14/2021,38569.2
01/13/2021,37370.9
01/12/2021,33168.2
01/11/2021,34771.4
01/10/2021,35633.7
01/09/2021,40390.8
01/08/2021,40378.7
01/07/2021,38713.3
01/06/2021,37490
01/05/2021,35228.7
01/04/2021,31381.1
01/03/2021,33328.7
01/02/2021,32861.6
01/01/2021,29400.6
12/31/2020,29238.8
12/30/2020,28940.6
12/29/2020,27838.5
12/28/2020,26381.2
12/27/2020,26946.1
12/26/2020,26710.9
12/25/2020,24911.2
12/24/2020,23577.7
12/23/2020,22977.4
12/22/2020,23516.6
12/21/2020,22954.2
12/20/2020,23901.2
12/19/2020,23300.3
12/18/2020,23083.2
12/17/2020,22947.3
12/16/2020,21837.6
12/15/2020,19381.2
12/14/2020,19309.3
12/13/2020,19083
12/12/2020,18867.2
12/11/2020,18384
12/10/2020,17984
12/09/2020,18455.5
12/08/2020,18217.9
12/07/2020,19178.5
12/06/2020,19288.8
12/05/2020,19203.7
12/04/2020,18884.1
12/03/2020,19288.2
12/02/2020,19065.4
12/01/2020,18507.3
11/30/2020,19466.8
11/29/2020,18511.3
11/28/2020,17791.7
11/27/2020,16938.7
11/26/2020,17071.3
11/25/2020,17777.1
11/24/2020,18779.6
11/23/2020,18423.7
11/22/2020,18453.4
11/21/2020,18582.4
11/20/2020,18614.6
11/19/2020,18180
11/18/2020,17843.5
11/17/2020,18376.8
11/16/2020,16648.2
11/15/2020,16004.3
11/14/2020,15924.2
11/13/2020,16116.8
11/12/2020,16395.1
11/11/2020,15659.1
11/10/2020,15385.2
11/09/2020,15396.9
