Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"2001:14b8:1800:303::3ea5:9f29",443,14,1204,0,0,0,0,14,1204
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56618,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56619,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56620,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56621,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56622,1,86,0,0,1,86,0,0
"192.168.1.177",56623,129,287202,0,0,33,3578,96,283624
"62.165.159.8",443,405,653142,0,0,265,635666,140,17476
"192.168.1.177",56624,18,2270,0,0,8,1120,10,1150
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56625,1,86,0,0,1,86,0,0
